,Pustular Mat  1,Pustular Mat  2,Pustular Mat  3,Pustular Mat  4,Pustular Mat  5,Smooth Mat 1,Smooth Mat 2,Smooth Mat 3,Smooth Mat 4,Smooth Mat 5
"K06147: ABCB-BAC; ATP-binding cassette, subfamily B, bacterial",30,5,32,19,25,24,22,33,10,5
"K00059: fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]",34,7,13,17,28,18,28,27,12,19
"K00962: pnp, PNPT1; polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]",32,5,6,13,18,32,28,44,13,8
"K01915: glnA, GLUL; glutamine synthetase [EC:6.3.1.2]",34,4,7,29,15,32,24,15,24,15
K07004: K07004; uncharacterized protein,46,4,0,11,22,38,20,24,17,15
K07033: K07033; uncharacterized protein,72,17,4,12,12,20,26,24,3,6
"K02519: infB, MTIF2; translation initiation factor IF-2",34,4,3,14,18,37,26,39,6,14
"K03386: PRDX2_4, ahpC; peroxiredoxin (alkyl hydroperoxide reductase subunit C) [EC:1.11.1.15]",48,8,5,15,17,25,16,26,18,15
K02058: ABC.SS.S; simple sugar transport system substrate-binding protein,6,1,4,12,9,28,46,23,27,36
"K04079: HSP90A, htpG; molecular chaperone HtpG",22,2,18,32,15,45,16,13,19,8
"K03407: cheA; two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]",18,0,13,9,7,32,20,42,34,13
K01601: rbcL; ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39],34,7,1,29,32,18,8,19,23,15
K00335: nuoF; NADH-quinone oxidoreductase subunit F [EC:7.1.1.2],6,1,8,16,20,25,26,26,36,20
K02470: gyrB; DNA gyrase subunit B [EC:5.6.2.2],30,3,5,14,13,39,32,34,7,7
K02033: ABC.PE.P; peptide/nickel transport system permease protein,36,4,17,18,21,17,30,20,4,15
"K00688: PYG, glgP; glycogen phosphorylase [EC:2.4.1.1]",30,11,2,18,16,26,20,35,9,9
K07180: prkA; serine protein kinase,44,4,0,11,15,18,30,40,2,11
K02284: cpcA; phycocyanin alpha chain,32,12,0,25,19,35,18,15,12,4
"K05376: cpeA, mpeA; phycoerythrin alpha chain",32,12,0,25,19,35,18,15,12,4
K03695: clpB; ATP-dependent Clp protease ATP-binding subunit ClpB,34,5,3,26,13,23,26,25,8,8
"K02010: afuC, fbpC; iron(III) transport system ATP-binding protein [EC:7.2.2.7]",12,8,7,19,14,17,26,18,20,28
K00666: K00666; fatty-acyl-CoA synthase [EC:6.2.1.-],8,2,9,13,12,16,38,48,5,15
K02706: psbD; photosystem II P680 reaction center D2 protein [EC:1.10.3.9],28,9,0,22,17,30,18,12,19,10
"K00123: fdoG, fdhF, fdwA; formate dehydrogenase major subunit [EC:1.17.1.9]",22,5,6,16,22,17,24,16,18,18
K01768: E4.6.1.1; adenylate cyclase [EC:4.6.1.1],30,1,10,16,14,18,18,28,8,20
K02650: pilA; type IV pilus assembly protein PilA,26,5,0,19,15,18,16,12,27,25
K02003: ABC.CD.A; putative ABC transport system ATP-binding protein,18,1,14,8,12,22,26,42,8,11
K06894: yfhM; alpha-2-macroglobulin,6,2,4,9,4,27,28,62,6,14
K02030: ABC.PA.S; polar amino acid transport system substrate-binding protein,18,2,12,17,12,14,26,24,14,20
K02032: ABC.PE.A1; peptide/nickel transport system ATP-binding protein,32,3,5,10,7,15,32,37,3,14
K11389: gapor; glyceraldehyde-3-phosphate dehydrogenase (ferredoxin) [EC:1.2.7.6],0,0,0,7,6,27,46,51,7,14
"K10112: msmX, msmK, malK, sugC, ggtA, msiK; multiple sugar transport system ATP-binding protein",12,7,4,19,9,17,24,19,19,27
K08927: pufB; light-harvesting complex 1 beta chain,18,5,2,21,28,8,18,17,18,21
K18682: rny; ribonucrease Y [EC:3.1.-.-],4,2,2,8,4,23,40,47,12,13
K00169: porA; pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1],4,1,1,9,18,15,28,47,15,16
"K01624: FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]",24,9,6,10,12,23,18,16,22,14
K02031: ABC.PE.A; peptide/nickel transport system ATP-binding protein,32,3,5,6,12,16,28,29,5,17
"K00394: aprA; adenylylsulfate reductase, subunit A [EC:1.8.99.2]",0,0,0,8,14,20,24,15,49,21
K02004: ABC.CD.P; putative ABC transport system permease protein,10,2,16,13,13,30,24,26,8,9
K18897: sdmt; sarcosine/dimethylglycine N-methyltransferase [EC:2.1.1.157],52,1,0,9,11,16,30,20,4,7
K02469: gyrA; DNA gyrase subunit A [EC:5.6.2.2],16,4,13,13,13,22,18,38,7,4
K15013: ACSBG; long-chain-fatty-acid--CoA ligase ACSBG [EC:6.2.1.3],2,0,7,0,1,104,0,34,0,0
"K00174: korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]",12,5,1,17,8,28,20,33,12,11
"K00656: E2.3.1.54, pflD; formate C-acetyltransferase [EC:2.3.1.54]",10,3,1,15,0,41,24,15,27,11
K01992: ABC-2.P; ABC-2 type transport system permease protein,16,1,28,16,10,17,20,21,5,13
