,Pustular Mat  1,Pustular Mat  2,Pustular Mat  3,Pustular Mat  4,Pustular Mat  5,Smooth Mat 1,Smooth Mat 2,Smooth Mat 3,Smooth Mat 4,Smooth Mat 5
K01127,2,1,1,3,2,4,12,8,5,6
K01902,4,1,2,3,7,2,14,2,4,5
K01905,0,1,1,1,1,6,10,14,3,7
K02694,8,3,0,7,5,6,6,2,7,0
K03183,8,0,1,4,4,4,10,7,1,5
K04773,8,0,1,2,6,5,10,7,1,4
K07045,10,1,3,2,5,8,6,2,3,4
K07277,14,1,7,6,3,2,2,5,3,1
K08372,16,1,2,2,5,1,8,4,3,2
K08675,2,0,1,2,6,17,6,6,1,3
K11532,14,2,0,4,2,6,6,6,4,0
K00457,12,3,2,4,6,4,4,4,3,1
K00812,4,1,4,3,2,5,10,5,5,4
K00831,10,0,2,1,2,9,8,4,4,3
K00854,2,0,1,5,4,5,6,10,0,10
K01602,4,1,1,7,4,10,4,6,3,3
K01638,6,0,1,4,10,0,10,8,1,3
K01921,8,1,5,3,2,4,4,8,3,5
K02117,4,0,0,5,2,7,6,6,8,5
K02433,10,0,7,3,4,1,4,10,0,4
K03321,8,1,5,9,2,6,4,1,3,4
K03665,8,1,7,3,3,2,10,3,1,5
K05601,4,0,0,3,2,8,20,2,3,1
K07001,10,3,2,4,4,1,8,7,0,4
K07374,6,0,0,8,6,6,4,3,6,4
K09691,6,0,3,3,9,6,2,9,0,5
K09749,0,0,0,1,0,14,4,13,4,7
K11005,12,1,1,10,9,1,2,1,4,2
K00036,8,1,5,6,6,1,2,8,3,2
K00605,2,1,2,6,3,7,10,7,1,3
K01491,6,0,3,6,2,5,4,7,5,4
K01951,8,0,8,3,1,2,8,7,3,2
K01972,2,0,3,1,1,1,16,14,1,3
K02507,4,0,16,3,1,4,6,2,1,5
K02961,0,0,0,2,7,8,6,14,2,3
K08770,10,0,2,2,4,5,12,0,5,2
K14138,0,0,0,1,2,4,10,2,10,13
K00170,4,1,0,2,4,3,6,16,2,3
K00355,0,0,2,0,2,10,10,4,6,7
K00410,12,0,0,14,4,3,0,3,4,1
K01495,14,1,3,6,2,6,0,5,3,1
K01962,4,0,7,2,5,3,4,9,2,5
K02021,0,0,2,5,3,8,6,9,3,5
K02343,8,0,2,6,3,7,4,4,4,3
K02876,4,1,2,3,5,6,4,8,5,3
K03427,0,3,7,1,3,10,8,6,0,3
K03520,14,2,4,4,7,3,2,3,1,1
K03723,6,0,6,1,5,2,6,9,1,5
K05520,14,0,1,6,3,2,8,5,1,1
K05788,14,4,4,7,2,4,0,0,3,3
K13010,2,0,5,1,0,6,12,8,2,5
K13811,4,0,0,4,2,6,4,4,6,11
K14127,0,0,0,0,1,5,10,21,0,4
K15634,6,1,3,4,5,0,6,10,0,6
K00507,12,1,3,7,8,2,4,2,1,0
K00786,12,1,3,4,3,5,2,5,3,2
K00966,10,2,5,4,3,3,4,3,3,3
K01687,4,0,1,4,7,5,4,6,3,6
K01937,6,0,4,2,2,4,2,12,7,1
K02282,0,0,0,3,1,2,16,11,2,5
K02485,6,1,1,4,3,8,6,8,1,2
K02495,0,0,3,2,4,11,4,4,7,5
K02641,8,5,0,1,10,5,0,6,2,3
K02651,8,4,0,10,12,3,2,1,0,0
K02836,2,3,4,4,1,10,4,7,0,5
K03442,12,1,5,5,1,4,2,5,4,1
K04037,14,2,2,4,5,1,4,3,4,1
K04749,6,0,0,9,1,4,10,3,3,4
K06207,16,0,3,3,4,6,2,4,0,2
K07375,4,2,0,10,7,5,0,2,7,3
K08587,0,0,0,0,1,4,4,18,5,8
K09903,14,1,4,1,0,4,6,3,3,4
K11085,10,0,2,5,7,2,0,9,4,1
K15511,8,5,0,1,10,5,0,6,2,3
K00428,6,1,2,2,3,6,6,6,4,3
K01571,4,0,0,0,1,5,6,10,3,10
K02392,2,0,1,6,1,10,4,10,3,2
K02637,10,2,0,5,5,5,6,3,2,1
K02662,12,0,1,5,4,3,6,4,2,2
K02835,10,2,6,5,2,3,2,7,1,1
K02892,10,2,1,3,2,8,2,6,2,3
K02904,2,1,0,3,3,7,4,16,2,1
K03092,6,0,2,4,1,11,2,6,2,5
K03273,14,1,0,5,1,2,2,6,6,2
K03431,4,0,4,6,2,3,6,5,3,6
K03555,10,0,4,2,0,6,2,10,0,5
K03640,6,0,0,4,5,5,4,4,7,4
K03778,6,3,1,3,2,6,8,6,1,3
K03885,16,0,5,1,3,2,2,1,5,4
K06158,8,0,4,2,3,8,0,10,2,2
K10408,0,0,2,4,22,5,0,1,0,5
K11526,6,0,2,0,2,3,0,1,16,9
K11900,12,3,1,6,3,4,2,1,6,1
K13821,4,0,1,2,5,6,8,8,3,2
K18707,4,1,0,4,2,2,8,10,1,7
K00566,12,4,1,5,3,5,2,4,2,0
K00645,4,1,3,7,2,5,8,5,1,2
K00784,8,0,1,6,2,3,2,11,3,2
K00876,10,2,0,4,7,2,0,9,2,2
K01194,0,1,4,2,2,8,8,7,3,3
K01406,8,2,1,7,7,2,4,2,3,2
K01770,4,0,4,2,1,11,2,9,3,2
K01960,4,0,0,0,1,3,6,11,3,10
K02062,0,0,0,0,1,5,8,6,9,9
K02718,6,0,0,8,6,6,2,2,6,2
K02970,8,1,2,0,4,13,4,4,2,0
K03148,12,2,1,3,5,2,6,3,3,1
K03404,4,1,2,3,1,1,6,13,3,4
K03574,4,0,9,2,2,6,4,7,0,4
K03590,4,0,3,3,5,3,4,8,3,5
K03615,4,1,0,3,3,6,4,4,8,5
K03841,6,0,1,2,6,10,2,1,6,4
K05299,2,0,2,5,3,3,12,3,2,6
K08252,10,1,0,4,7,2,10,3,0,1
K10382,2,0,0,0,2,9,14,11,0,0
K13963,8,0,1,3,2,7,2,9,1,5
K16199,2,0,0,3,4,5,10,6,4,4
K00575,2,2,3,2,2,7,6,9,2,2
K00845,4,0,5,8,1,3,4,4,1,7
K01119,4,2,2,2,4,7,6,4,1,5
K01875,6,0,2,3,1,5,4,10,4,2
K02472,6,0,0,6,2,4,6,4,3,6
K02587,0,0,0,1,16,0,8,1,0,11
K02657,10,0,1,4,2,6,6,1,4,3
K03316,8,0,3,6,2,7,2,6,1,2
K03558,10,1,12,1,2,3,4,1,2,1
K03655,4,0,2,5,3,2,8,9,2,2
K08300,8,3,3,3,1,2,2,9,2,4
K09698,4,0,4,2,3,4,6,8,2,4
K11717,8,0,2,3,2,9,2,11,0,0
K12315,0,0,0,4,2,9,12,4,4,2
K16147,2,0,4,5,2,1,12,9,0,2
K00114,14,4,4,2,5,1,4,0,1,1
K00332,6,2,3,1,5,7,4,4,1,3
K00392,22,1,0,5,5,0,2,1,0,0
K00691,0,1,2,1,2,5,8,9,6,2
K00970,4,0,5,1,2,7,4,10,1,2
K01256,0,1,10,4,7,4,8,1,1,0
K01488,8,1,0,5,4,5,4,7,1,1
K01759,14,3,3,7,5,2,0,1,1,0
K02484,4,1,2,6,4,6,8,3,0,2
K02699,8,2,0,8,2,2,6,2,3,3
K02768,6,0,3,1,0,5,10,5,3,3
K02884,6,0,0,5,2,8,0,8,1,6
K03110,2,2,1,7,2,6,6,6,2,2
K03522,2,1,2,4,2,4,6,11,1,3
K06142,8,2,0,2,3,9,4,4,2,2
K06415,8,0,0,4,3,6,2,10,0,3
K07316,16,1,2,0,0,4,4,8,0,1
K08301,8,2,3,3,1,2,2,9,2,4
K09117,6,0,0,6,4,3,8,3,2,4
K09810,0,1,2,0,5,4,8,11,2,3
K09815,8,2,1,4,4,11,2,2,0,2
K09825,8,1,2,2,4,6,4,6,1,2
K13038,8,1,3,3,1,6,4,4,3,3
K15581,4,0,8,2,3,4,4,5,0,6
K00010,2,1,2,5,3,6,4,1,4,7
K00339,2,4,8,5,4,2,0,4,1,5
K01147,4,1,7,4,1,6,4,6,0,2
K01669,6,0,8,3,1,6,4,4,0,3
K01728,2,0,0,0,0,6,10,11,2,4
K01739,6,0,1,5,4,2,8,4,3,2
K01834,4,0,2,1,5,4,4,7,3,5
K02342,4,0,13,2,4,3,4,5,0,0
K02887,10,0,0,5,3,2,8,6,0,1
K02909,10,1,1,3,1,3,8,6,1,1
K03044,2,1,0,0,0,13,6,13,0,0
K03089,12,2,3,6,1,2,4,0,1,4
K03529,0,0,4,5,2,11,2,10,1,0
K03705,10,1,3,4,0,2,4,6,2,3
K03741,10,2,5,1,2,1,8,1,0,5
K05380,8,2,0,10,5,3,2,3,2,0
K05575,14,1,0,7,1,4,2,3,0,3
K06937,4,1,0,0,0,8,10,12,0,0
K06960,2,0,0,1,4,6,14,5,1,2
K07535,0,1,1,4,5,3,10,1,4,6
K08352,0,0,0,11,4,6,6,5,2,1
K08738,4,0,0,6,3,6,4,3,4,5
K09942,10,7,0,2,5,2,2,0,3,4
K11749,6,0,8,6,2,4,0,6,1,2
K12573,4,0,7,5,3,2,6,6,0,2
K13798,2,1,0,0,0,13,6,13,0,0
K13954,2,2,2,2,1,5,4,10,4,3
K15125,8,0,6,5,7,4,0,4,0,1
K17751,0,0,2,11,3,9,2,2,3,3
K18149,2,0,6,3,2,2,6,8,3,3
K00242,12,1,1,4,5,3,4,1,2,1
K00282,2,0,0,2,2,3,8,8,4,5
K00655,6,0,2,3,1,5,2,10,0,5
K00694,16,1,4,4,6,0,0,3,0,0
K01071,4,0,0,5,1,6,6,6,2,4
K01191,6,0,0,2,4,3,12,5,1,1
K01207,2,0,5,3,2,6,4,7,1,4
K01356,8,0,2,3,7,3,2,8,0,1
K01817,0,0,8,4,4,5,6,3,1,3
K01886,4,0,6,3,0,5,4,5,1,6
K02039,4,0,0,2,2,3,6,5,5,7
K02276,6,1,2,7,2,6,4,1,1,4
K02410,0,0,1,4,0,12,0,13,0,4
K02639,12,2,0,2,7,4,0,2,1,4
K02939,6,0,0,8,4,4,4,4,1,3
K05516,8,1,0,1,2,2,8,3,5,4
K05572,14,2,0,3,4,1,2,3,1,4
K05577,12,1,0,4,3,1,8,0,4,1
K05816,2,2,4,6,1,5,4,2,8,0
K07712,0,0,0,2,3,13,4,11,1,0
K08253,8,0,1,4,8,1,6,3,1,2
K10543,0,0,0,2,5,1,4,6,12,4
K11904,4,0,3,2,0,12,6,3,3,1
K17734,8,2,0,6,2,4,4,6,0,2
K20011,10,2,0,1,3,4,0,6,5,3
K00023,6,1,2,4,7,1,4,3,2,3
K00105,2,1,5,5,2,4,6,8,0,0
K00574,8,1,5,5,5,3,0,2,3,1
K00790,0,0,3,7,3,3,4,6,3,4
K00797,0,1,2,4,4,10,2,4,1,5
K00817,6,0,8,2,2,4,4,3,2,2
K00821,4,1,4,5,2,5,2,7,3,0
K01156,6,1,2,1,2,2,6,9,2,2
K01181,8,0,0,2,0,6,4,5,3,5
K01489,2,0,10,7,1,3,2,5,1,2
K01644,2,0,3,10,3,0,8,3,2,2
K02114,6,0,2,8,3,2,0,4,4,4
K02658,10,0,3,0,2,3,2,7,3,3
K03138,0,1,13,0,0,13,2,4,0,0
K03564,6,0,0,8,1,6,2,3,4,3
K03692,4,2,0,6,3,8,4,5,1,0
K04040,4,0,0,4,3,2,4,4,7,5
K04042,2,0,5,3,4,5,8,6,0,0
K06945,2,0,0,5,0,3,14,3,4,2
K10716,4,0,3,1,2,5,8,2,1,7
K11069,10,0,2,2,3,4,0,4,2,6
K11610,4,0,1,3,3,4,4,10,2,2
K11901,10,3,1,3,3,4,2,2,4,1
K15724,10,2,0,2,8,2,8,1,0,0
K00102,8,0,0,4,4,4,4,6,1,1
K00113,2,0,0,2,3,5,6,12,1,1
K00177,0,0,0,3,4,2,8,7,5,3
K00895,2,0,4,2,3,6,2,7,4,2
K01190,2,0,5,0,1,3,10,4,2,5
K01255,4,0,3,3,4,3,8,5,0,2
K01641,2,0,0,1,1,1,6,18,1,2
K01991,14,0,1,4,8,0,0,2,2,1
K02012,4,2,3,4,1,2,8,2,2,4
K02052,2,2,2,3,7,4,4,4,2,2
K02078,4,2,2,2,3,10,2,1,4,2
K02396,4,0,1,2,0,7,2,7,2,7
K03292,4,1,2,3,1,4,4,10,0,3
K03699,4,0,4,5,2,2,4,2,1,8
K03770,2,0,4,2,2,13,0,4,2,3
K07487,2,0,1,5,4,5,8,5,2,0
K09710,10,1,2,3,3,6,6,0,1,0
K10108,2,0,0,1,0,10,2,4,6,7
K10824,8,2,3,1,3,2,8,3,0,2
K13015,8,0,0,4,2,4,4,2,3,5
K13893,6,0,3,3,3,4,4,5,0,4
K16843,6,0,2,1,7,3,6,1,3,3
K17315,2,0,2,1,2,5,6,1,9,4
K00013,10,0,2,2,2,5,2,4,1,3
K00030,6,2,1,2,6,2,8,1,1,2
K00342,4,2,6,2,4,1,0,4,1,7
K00549,10,2,6,2,1,3,4,2,0,1
K00611,4,0,2,1,0,6,10,5,2,1
K00819,2,0,2,4,0,10,4,5,3,1
K01740,8,2,4,3,2,3,0,2,1,6
K01790,4,0,3,5,4,2,2,5,2,4
K02168,6,2,5,4,4,1,2,1,3,3
K03935,10,1,0,2,2,7,0,2,5,2
K06013,8,1,1,0,3,2,6,6,2,2
K06044,4,0,0,3,2,2,8,8,0,4
K06891,8,1,0,7,0,9,0,1,2,3
K07112,0,1,3,4,3,8,0,1,11,0
K07175,8,0,4,2,1,4,4,5,0,3
K07568,2,0,8,1,3,8,0,5,4,0
K07665,4,2,7,5,6,3,2,1,1,0
K07668,2,0,1,10,5,6,2,4,1,0
K08589,2,0,0,2,1,6,6,5,5,4
K08602,10,0,0,3,2,5,4,4,1,2
K10206,14,0,1,2,8,2,0,0,1,3
K11522,6,0,1,3,1,5,2,1,9,3
K14652,10,1,3,2,2,5,4,3,0,1
K19607,0,0,0,0,1,23,0,7,0,0
K00135,0,1,5,4,4,4,4,7,1,0
K00297,4,0,2,2,5,1,2,11,1,2
K00510,6,1,1,7,0,3,0,3,7,2
K00573,6,1,2,1,4,2,8,5,1,0
K00806,8,0,0,3,5,3,0,7,1,3
K00963,8,1,3,4,4,5,2,2,0,1
K01104,4,1,1,6,1,2,8,5,1,1
K01436,10,1,3,3,2,4,2,2,2,1
K01598,8,1,3,1,1,3,4,4,2,3
K01735,6,0,4,4,2,4,4,5,0,1
K01854,6,2,1,3,8,1,2,4,2,1
K01889,4,0,1,2,6,7,2,3,2,3
K01928,6,0,4,3,0,2,4,5,3,3
K02016,8,0,13,1,2,2,2,0,0,2
K02424,2,0,4,1,0,1,10,3,5,4
K02437,2,0,2,5,3,2,4,8,0,4
K02621,2,1,8,5,0,4,2,6,1,1
K02994,0,0,1,3,3,1,0,13,4,5
K03073,8,0,3,3,3,3,2,3,3,2
K04039,8,1,0,5,1,4,2,2,4,3
K05367,4,0,3,3,0,2,6,8,0,4
K05499,2,1,0,1,3,5,8,6,1,3
K05588,2,1,0,3,7,1,2,3,5,6
K06173,0,1,3,8,1,1,4,4,3,5
K07216,0,1,1,4,2,6,8,2,5,1
K11473,6,1,0,2,3,6,4,2,1,5
K11527,2,0,1,3,3,7,2,9,1,2
K11755,2,0,9,5,1,1,6,3,1,2
K15587,8,2,2,1,3,0,6,3,0,5
K17299,0,0,0,2,1,8,8,4,5,2
K00257,10,1,0,2,3,3,2,6,1,1
K00330,8,3,4,6,0,0,4,1,0,3
K00940,4,1,1,3,0,8,2,7,0,3
K01426,8,0,2,4,5,1,2,5,0,2
K01474,10,0,3,1,2,1,4,6,1,1
K01695,4,1,7,1,2,0,4,6,1,3
K01761,2,0,1,4,3,2,8,3,4,2
K01922,8,1,3,1,1,3,4,4,2,2
K02057,2,0,8,3,4,0,0,3,4,5
K02132,0,1,1,5,4,8,2,3,4,1
K03733,2,2,0,3,0,12,0,6,1,3
K03781,2,1,6,0,3,7,8,0,1,1
K04090,8,0,5,2,4,1,4,4,1,0
K05997,12,3,0,5,6,0,2,1,0,0
K06889,8,0,4,4,3,3,2,4,1,0
K06911,10,1,1,3,2,3,4,2,2,1
K07147,12,3,3,2,2,3,2,1,1,0
K08482,6,0,1,1,2,1,12,4,2,0
K10413,2,0,0,3,11,4,0,4,1,4
K15314,4,0,0,5,7,2,6,3,1,1
K15726,0,0,10,3,1,7,2,2,2,2
K17202,0,0,0,2,1,4,6,8,3,5
K00034,8,1,4,1,5,2,2,3,0,2
K00167,6,0,1,5,3,6,4,3,0,0
K00343,4,3,1,5,5,0,4,2,0,4
K00366,16,2,0,3,3,1,2,0,0,1
K00696,14,0,0,1,0,4,2,6,0,1
K01087,0,0,6,2,1,3,4,7,3,2
K01262,6,0,2,2,1,6,2,4,3,2
K01270,2,0,2,0,1,6,6,3,7,1
K01271,4,0,2,2,0,8,4,2,4,2
K01365,6,0,0,3,6,4,2,2,3,2
K01673,6,0,6,4,1,3,0,4,3,1
K01805,4,1,0,2,6,6,0,6,1,2
K01993,6,2,1,3,4,4,4,1,2,1
K02029,4,0,8,1,2,2,4,3,2,2
K02077,6,2,1,3,1,9,2,3,0,1
K02198,6,2,0,7,8,0,0,1,1,3
K02314,2,0,6,6,0,3,0,7,1,3
K02338,8,0,1,2,0,4,2,4,5,2
K03497,8,0,1,2,2,3,2,2,5,3
K03654,2,0,4,3,1,6,4,4,3,1
K03667,12,0,2,3,0,3,0,6,0,2
K03703,2,0,6,4,6,1,0,7,1,1
K03856,2,1,0,4,5,2,6,1,2,5
K04342,20,1,0,4,1,1,0,1,0,0
K04764,4,2,1,4,2,1,4,0,3,7
K05341,2,3,2,4,0,2,6,6,0,3
K05524,16,0,0,4,2,1,4,1,0,0
K06001,0,0,1,0,3,4,2,7,4,7
K06915,6,1,0,1,2,2,6,9,0,1
K07052,6,0,3,2,2,5,6,2,1,1
K07079,0,0,0,4,1,7,6,8,2,0
K08483,6,0,1,1,0,5,6,4,3,2
K08692,2,1,0,0,5,2,10,2,4,2
K10233,4,0,0,4,4,1,4,5,2,4
K11183,6,0,1,1,0,5,6,4,3,2
K11688,4,0,0,3,2,5,6,1,4,3
K14441,2,1,0,1,1,0,8,8,1,6
K00053,2,0,0,1,2,4,6,7,1,4
K00187,0,0,0,1,5,5,2,8,3,3
K00215,4,0,3,3,2,2,6,3,2,2
K00554,4,0,1,0,0,10,0,9,2,1
K00681,6,1,5,3,4,2,4,1,0,1
K01046,4,1,3,0,1,3,2,6,2,5
K01439,2,0,5,3,2,5,0,5,2,3
K01462,2,1,7,1,2,9,0,4,1,0
K01758,6,0,1,7,3,1,2,5,1,1
K01956,6,0,1,4,1,4,4,5,1,1
K01958,6,0,0,3,4,2,4,1,4,3
K01961,4,1,1,4,7,1,0,3,3,3
K02221,12,1,1,2,1,7,0,2,1,0
K02455,6,0,3,2,2,5,4,2,0,3
K02594,0,0,1,1,3,8,0,5,0,9
K02716,2,3,0,4,5,4,2,1,5,1
K02858,10,1,3,2,2,2,4,2,0,1
K03742,6,0,9,1,1,3,2,5,0,0
K04016,6,2,0,6,8,0,0,1,1,3
K04038,14,1,2,3,1,4,2,0,0,0
K04772,8,0,2,1,1,3,4,5,1,2
K05815,12,0,2,4,2,1,0,2,0,4
K05825,0,0,2,1,3,2,6,7,1,5
K06204,4,1,2,5,3,3,4,3,2,0
K06282,4,1,0,0,3,3,4,2,5,5
K06972,8,1,0,2,1,4,4,6,0,1
K07171,4,2,0,2,2,3,8,6,0,0
K07284,2,0,2,2,3,6,4,5,3,0
K08696,4,1,2,3,2,1,2,3,5,4
K11251,0,2,0,3,3,3,4,3,6,3
K13483,8,0,1,3,4,3,2,6,0,0
K15509,8,0,2,2,2,5,2,2,1,3
K00067,2,0,3,3,5,1,2,5,2,3
K00197,0,0,0,0,3,3,4,7,4,5
K00609,0,1,1,2,1,7,6,3,1,4
K00847,2,1,1,3,0,5,4,4,4,2
K00856,0,0,2,2,2,3,4,6,2,5
K01052,0,0,0,1,2,2,12,9,0,0
K01134,0,0,0,6,7,3,4,2,2,2
K01434,6,1,0,1,0,2,8,7,0,1
K01613,2,0,7,3,2,2,2,2,2,4
K01623,6,1,0,2,7,3,0,3,3,1
K01659,6,1,4,5,0,1,0,2,6,1
K01756,2,1,3,3,1,4,6,4,0,2
K01892,4,0,5,1,4,3,4,3,2,0
K01923,2,0,4,1,1,6,2,4,1,5
K02262,0,1,0,2,0,9,2,1,7,4
K02356,4,1,1,2,3,5,0,5,4,1
K02693,6,3,0,8,2,2,0,3,2,0
K02902,10,0,0,4,4,1,0,3,2,2
K02907,6,0,1,2,1,6,0,8,1,1
K03546,2,0,3,1,1,4,2,11,1,1
K03606,2,1,0,4,0,4,8,5,0,2
K03621,6,0,0,3,3,3,4,4,3,0
K03883,0,0,3,4,3,6,0,4,4,2
K03977,4,0,3,2,0,3,6,5,1,2
K04027,2,1,1,3,4,1,4,1,5,4
K04656,0,1,0,0,6,2,4,10,2,1
K04760,2,1,0,0,3,4,8,7,0,1
K05337,0,0,2,2,0,9,4,2,1,6
K05768,0,0,1,5,4,3,6,3,3,1
K06115,0,0,0,2,1,9,4,6,3,1
K06215,2,2,0,1,4,3,8,4,0,2
K06941,2,0,5,5,2,3,2,3,2,2
K07058,10,1,5,2,3,0,2,0,2,1
K07126,0,0,0,0,0,19,2,3,1,1
K07302,4,1,3,1,5,3,4,5,0,0
K07456,8,1,0,4,2,1,6,0,0,4
K07462,4,0,1,1,3,2,4,11,0,0
K09952,4,0,2,2,2,7,0,5,3,1
K10118,2,0,3,2,2,2,6,6,1,2
K10545,0,1,0,0,2,1,6,5,5,6
K10680,8,0,9,3,3,1,0,1,1,0
K12585,2,0,7,5,0,2,4,4,0,2
K15582,2,0,2,3,1,1,10,6,0,1
K16363,6,0,1,5,2,4,4,1,2,1
K18912,6,0,2,2,3,2,6,3,0,2
K00302,2,0,2,6,1,2,4,5,2,1
K00303,6,2,1,4,1,0,6,4,1,0
K00425,0,1,1,1,2,6,4,0,5,5
K01201,0,1,0,1,0,5,2,9,4,3
K01236,2,0,0,5,2,3,4,8,0,1
K01704,4,0,4,1,0,2,2,9,2,1
K01867,2,0,8,2,1,3,2,5,1,1
K01880,4,1,0,3,0,2,4,8,1,2
K02013,4,0,4,4,2,1,4,4,0,2
K02028,4,0,5,1,1,6,2,3,2,1
K02116,6,1,0,2,1,2,6,2,3,2
K02199,4,0,0,2,1,4,6,4,1,3
K03100,2,0,1,1,4,4,4,3,0,6
K03526,6,0,6,2,1,1,2,1,3,3
K03672,6,0,0,1,3,8,4,1,2,0
K03790,4,0,6,4,1,0,2,6,1,1
K06076,0,0,5,1,4,6,2,1,1,5
K06180,4,1,6,3,0,4,0,3,1,3
K07082,8,0,1,4,0,2,2,4,2,2
K07397,4,0,2,6,3,0,2,4,3,1
K07669,10,0,1,2,2,1,2,5,0,2
K08177,2,0,0,1,3,0,8,3,5,3
K08693,4,0,0,7,2,2,0,3,4,3
K10548,0,0,0,0,1,4,6,7,4,3
K11065,2,0,0,2,0,8,6,3,3,1
K12340,6,0,1,1,3,9,0,4,1,0
K12503,8,0,0,1,4,2,0,6,1,3
K12960,2,1,0,0,1,1,14,1,0,5
K13289,2,0,0,1,2,7,8,2,2,1
K13587,0,0,0,3,1,6,4,8,0,3
K13829,4,0,4,2,2,5,2,4,1,1
K14986,0,0,2,2,1,2,12,3,3,0
K15643,8,0,0,3,2,3,2,5,0,2
K17067,0,2,0,0,4,4,12,3,0,0
K17240,0,0,0,0,0,2,6,4,7,6
K17489,2,0,0,0,5,2,8,0,3,5
K00066,4,2,0,3,1,1,6,1,1,5
K00145,14,0,1,1,2,0,2,3,1,0
K00147,0,0,3,2,3,5,2,5,1,3
K00193,0,0,0,1,0,1,10,10,1,1
K00201,0,0,0,1,1,2,4,14,0,2
K00218,6,1,0,0,1,5,2,1,6,2
K00278,4,0,1,1,1,3,8,1,1,4
K00432,2,1,0,3,1,9,2,4,2,0
K00459,6,0,4,0,1,3,4,4,1,1
K00763,4,2,1,2,0,1,8,5,1,0
K01057,6,0,2,2,2,4,2,3,2,1
K01067,4,1,1,4,5,2,0,3,1,3
K01083,4,0,1,3,1,5,0,2,3,5
K01091,0,0,6,2,0,5,2,5,2,2
K01424,4,1,4,3,5,2,2,2,1,0
K01912,2,1,1,3,4,2,4,1,3,3
K01940,8,0,3,2,0,2,2,3,0,4
K02067,8,0,8,1,0,1,2,2,1,1
K02259,4,3,1,2,5,4,0,1,3,1
K02261,2,0,2,4,2,7,2,3,0,2
K02405,4,0,0,0,3,4,0,6,1,6
K02428,0,0,10,3,0,4,2,5,0,0
K02535,4,0,1,5,2,4,4,1,2,1
K02584,0,0,0,0,5,14,0,3,0,2
K02638,2,0,0,3,1,4,4,1,6,3
K02692,2,3,0,7,3,6,0,0,1,2
K03116,4,0,0,4,4,7,2,1,1,1
K03147,8,1,2,0,3,2,4,3,0,1
K03243,2,3,0,1,0,5,4,6,2,1
K03424,2,0,3,4,0,8,2,2,2,1
K03710,2,1,1,1,0,7,6,1,2,3
K04063,0,0,2,1,2,1,10,6,0,2
K04562,0,0,0,1,2,4,4,6,2,5
K05586,2,0,0,4,4,1,4,1,5,3
K05846,0,0,4,2,2,4,6,1,2,3
K05946,12,0,0,1,3,0,0,7,1,0
K06020,0,1,8,3,0,5,2,5,0,0
K06178,2,1,11,1,3,3,0,1,1,1
K06445,12,2,0,1,4,1,0,4,0,0
K06873,0,0,0,3,0,9,0,4,2,6
K07090,6,0,2,5,0,3,2,1,1,4
K07485,8,0,3,0,2,1,2,2,5,1
K07492,4,1,2,2,5,3,0,4,0,3
K07738,8,0,1,0,2,1,8,2,0,2
K08226,6,1,3,2,3,0,2,0,3,4
K08256,2,0,0,2,1,4,4,2,4,5
K08307,2,0,1,2,1,11,2,1,1,3
K08972,14,1,2,1,1,0,2,3,0,0
K09808,0,0,6,1,2,8,4,2,0,1
K10036,0,0,0,2,1,3,6,6,5,1
K10357,2,0,0,1,4,7,2,2,3,3
K11072,2,1,1,3,4,2,2,4,2,3
K11089,4,1,0,1,2,2,8,5,1,0
K11179,0,0,0,3,1,7,4,4,1,4
K12511,4,0,0,0,4,4,4,6,1,1
K12524,4,0,3,3,2,2,0,7,1,2
K12823,2,0,0,2,2,12,0,2,1,3
K13058,8,0,0,1,0,6,0,8,0,1
K13126,4,1,0,2,0,10,2,3,2,0
K14067,6,0,4,0,0,2,8,1,2,1
K14415,2,0,0,0,1,3,6,8,1,3
K15342,4,1,2,3,2,2,4,4,1,1
K17321,4,0,0,1,0,1,2,0,8,8
K18989,10,1,0,2,0,2,2,2,4,1
K00008,8,0,2,1,1,4,2,2,1,2
K00122,2,0,1,5,3,1,4,3,3,1
K00127,0,0,1,4,3,4,4,3,1,3
K00200,0,0,0,1,0,3,4,15,0,0
K00441,6,0,0,1,0,1,2,7,2,4
K00558,2,1,2,0,3,6,0,4,1,4
K00690,4,0,1,3,1,2,6,2,1,3
K00863,0,0,2,5,4,1,2,2,3,4
K00928,4,0,3,1,0,3,0,7,2,3
K00957,2,0,0,6,0,6,2,1,3,3
K01182,4,0,0,2,2,1,6,3,3,2
K01724,6,2,1,1,2,5,0,4,0,2
K01814,2,0,3,2,5,5,4,2,0,0
K01829,6,2,0,4,2,5,2,1,1,0
K01965,0,0,6,1,6,1,0,1,6,2
K02230,2,1,5,3,5,1,2,1,1,2
K02397,0,0,2,1,0,3,0,10,4,3
K02622,8,1,1,1,2,5,0,2,0,3
K02636,2,2,0,5,4,2,4,1,3,0
K03153,0,1,8,0,0,0,2,8,3,1
K03455,8,0,5,1,2,0,2,1,2,2
K03572,2,1,0,2,1,4,2,9,1,1
K03587,0,0,8,1,1,4,4,5,0,0
K03631,2,2,1,2,2,2,4,1,1,6
K03709,2,0,0,1,3,9,2,1,1,4
K03722,2,1,9,1,3,2,0,4,1,0
K03731,0,0,2,1,0,3,6,7,2,2
K03772,6,1,3,3,3,3,0,0,3,1
K04483,2,0,0,0,1,2,6,12,0,0
K04485,0,0,3,0,1,5,2,9,1,2
K04780,4,0,1,4,3,0,4,5,1,1
